Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Bosnia and Herzegovina,4.7876,0.0585,12.4319,0.0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0.0,0.0822,0.4205,11.6394,37.5645,19.4,2,0.441877476379153,0.0129533678756477,0.24867418469978697,0.18024992380371802,3281000.0,%
Botswana,4.2717,0.3402,14.4486,0.0,11.432,0.1402,0.3551,2.8465,2.2840000000000003,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,0.0009,0.015,1.0065,4.0558,35.5491,16.1,26.4,0.0460077686663789,8.63185153215365e-05,0.00345274061286146,0.0424687095381959,2317000.0,%
Bulgaria,7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0.0,0.0797,0.7085,6.2037,32.7435,27.4,3.6,0.195062797747943,0.00662624512776094,0.11520138588133401,0.07323516673884799,6927000.0,%
Burkina Faso,15.3706,0.0231,4.6611,0.0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0.0,0.0712,0.9503,1.5036,45.3359,4.5,20,0.00575993876477061,0.000258336124001339,0.00470745825957996,0.000794144381189303,20903000.0,%
Cambodia,4.5783,0.0377,6.08,0.0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,16.4,0.00161966832290121,0.0,0.00141317674388591,0.00020649157901529299,15497000.0,%
Cameroon,5.156000000000001,0.0146,2.9330000000000003,0.0,10.3112,0.0256,1.3206,7.2151,0.8759999999999999,0.6289,0.0717,0.0673,0.8658,1.4734,0.28300000000000003,11.3883,0.0234,0.6479,0.0,0.1324,0.6398,8.859,47.067,9.5,9.9,0.0678321678321678,0.00148507406571923,0.0575983156628318,0.00874877810361681,26598000.0,%
Central African Republic,1.7435,0.1228,6.9032,0.0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.6970000000000001,0.8936,0.0031,27.7128,0.2008,0.7022,0.0,0.0,0.7240000000000001,1.9214,43.0942,6.3,59.6,0.0960869565217391,0.00124223602484472,0.0356314699792961,0.0592132505175983,4830000.0,%
Chad,0.8297,0.2023,12.2804,0.0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0.0,6.9910000000000005,0.0087,1.3449,0.0,0.0,0.4556,0.9141,37.7189,4.8,37.5,0.00559933637494815,0.00045031699946673,0.00499496355987439,0.000154055815607039,16877000.0,%
China,2.3224,0.0866,13.424000000000001,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,8.5,0.00633962856134371,0.000334358967045426,0.00586479461774049,0.000140474976557793,1402385000.0,%
Congo,4.9612,0.0122,6.1258,0.0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.17300000000000001,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0.0,0.0016,0.67,2.552,43.8709,8.4,40.3,0.238365349764407,0.005110547299746289,0.18035520115984102,0.0528996013048206,5518000.0,%
